name,salary_from,salary_to,salary_currency,area_name,published_at
Младший руководитель проектов,75000,300000,RUR,Казань,2022-12-08T11:19:07+0300
Заместитель руководителя проекта,33000,130000,RUR,Новосибирск,2022-12-08T11:18:48+0300
Оператор станка с ЧПУ,300000,500000,KZT,Астана,2022-12-08T08:06:52+0300
Проектный менеджер,800000,None,KZT,Астана,2022-12-08T08:54:05+0300
"Frontend-разработчик (JavaScript, React)",150000,None,RUR,Москва,2022-12-08T11:39:20+0300
Представитель группы компаний в Бразилии / руководитель филиала,None,None,,Санкт-Петербург,2022-12-08T10:41:40+0300
Руководитель группы проектов,55000,1100000,RUR,Красноярск,2022-12-08T11:19:28+0300
Руководитель проекта,50000,1000000,RUR,Екатеринбург,2022-12-08T11:19:45+0300
Графический дизайнер на стажировку,None,None,,Астана,2022-12-08T07:47:34+0300
Руководитель группы проектов,55000,1100000,RUR,Челябинск,2022-12-08T11:19:28+0300
Младший руководитель проектов,75000,300000,RUR,Санкт-Петербург,2022-12-08T11:19:08+0300
Администратор проектов (The Standoff 365),None,None,,Москва,2022-12-08T11:09:00+0300
Менеджер IT-проектов (удаленно),60000,150000,RUR,Казань,2022-12-08T11:01:31+0300
Web-мастер/Разработчик,80000,None,RUR,Новосибирск,2022-12-08T06:05:30+0300
Frontend Web разработчик,40000,160000,RUR,Москва,2022-12-08T10:45:45+0300
Руководитель проекта,50000,1000000,RUR,Казань,2022-12-08T11:19:44+0300
Младший менеджер (координатор) по поставкам нефтегазового оборудования,80000,100000,RUR,Москва,2022-12-08T10:28:28+0300
Журналист / Новостной редактор / SMM-менеджер,35000,None,RUR,Самара,2022-12-08T11:18:08+0300
Python разработчик,None,None,,Нижний Новгород,2022-12-08T11:02:54+0300
Технический администратор,None,46000,RUR,Москва,2022-12-08T10:05:48+0300
Младший руководитель проектов,75000,300000,RUR,Казань,2022-12-08T11:19:07+0300
Заместитель руководителя проекта,33000,130000,RUR,Новосибирск,2022-12-08T11:18:48+0300
Оператор станка с ЧПУ,300000,500000,KZT,Астана,2022-12-08T08:06:52+0300
Проектный менеджер,800000,None,KZT,Астана,2022-12-08T08:54:05+0300
"Frontend-разработчик (JavaScript, React)",150000,None,RUR,Москва,2022-12-08T11:39:20+0300
Представитель группы компаний в Бразилии / руководитель филиала,None,None,,Санкт-Петербург,2022-12-08T10:41:40+0300
Руководитель группы проектов,55000,1100000,RUR,Красноярск,2022-12-08T11:19:28+0300
Руководитель проекта,50000,1000000,RUR,Екатеринбург,2022-12-08T11:19:45+0300
Графический дизайнер на стажировку,None,None,,Астана,2022-12-08T07:47:34+0300
Руководитель группы проектов,55000,1100000,RUR,Челябинск,2022-12-08T11:19:28+0300
Младший руководитель проектов,75000,300000,RUR,Санкт-Петербург,2022-12-08T11:19:08+0300
Администратор проектов (The Standoff 365),None,None,,Москва,2022-12-08T11:09:00+0300
Менеджер IT-проектов (удаленно),60000,150000,RUR,Казань,2022-12-08T11:01:31+0300
Web-мастер/Разработчик,80000,None,RUR,Новосибирск,2022-12-08T06:05:30+0300
Frontend Web разработчик,40000,160000,RUR,Москва,2022-12-08T10:45:45+0300
Руководитель проекта,50000,1000000,RUR,Казань,2022-12-08T11:19:44+0300
Младший менеджер (координатор) по поставкам нефтегазового оборудования,80000,100000,RUR,Москва,2022-12-08T10:28:28+0300
Журналист / Новостной редактор / SMM-менеджер,35000,None,RUR,Самара,2022-12-08T11:18:08+0300
Python разработчик,None,None,,Нижний Новгород,2022-12-08T11:02:54+0300
Технический администратор,None,46000,RUR,Москва,2022-12-08T10:05:48+0300
Младший руководитель проектов,75000,300000,RUR,Казань,2022-12-08T11:19:07+0300
Заместитель руководителя проекта,33000,130000,RUR,Новосибирск,2022-12-08T11:18:48+0300
Оператор станка с ЧПУ,300000,500000,KZT,Астана,2022-12-08T08:06:52+0300
Проектный менеджер,800000,None,KZT,Астана,2022-12-08T08:54:05+0300
"Frontend-разработчик (JavaScript, React)",150000,None,RUR,Москва,2022-12-08T11:39:20+0300
Представитель группы компаний в Бразилии / руководитель филиала,None,None,,Санкт-Петербург,2022-12-08T10:41:40+0300
Руководитель группы проектов,55000,1100000,RUR,Красноярск,2022-12-08T11:19:28+0300
Руководитель проекта,50000,1000000,RUR,Екатеринбург,2022-12-08T11:19:45+0300
Графический дизайнер на стажировку,None,None,,Астана,2022-12-08T07:47:34+0300
Руководитель группы проектов,55000,1100000,RUR,Челябинск,2022-12-08T11:19:28+0300
Младший руководитель проектов,75000,300000,RUR,Санкт-Петербург,2022-12-08T11:19:08+0300
Администратор проектов (The Standoff 365),None,None,,Москва,2022-12-08T11:09:00+0300
Менеджер IT-проектов (удаленно),60000,150000,RUR,Казань,2022-12-08T11:01:31+0300
Web-мастер/Разработчик,80000,None,RUR,Новосибирск,2022-12-08T06:05:30+0300
Frontend Web разработчик,40000,160000,RUR,Москва,2022-12-08T10:45:45+0300
Руководитель проекта,50000,1000000,RUR,Казань,2022-12-08T11:19:44+0300
Младший менеджер (координатор) по поставкам нефтегазового оборудования,80000,100000,RUR,Москва,2022-12-08T10:28:28+0300
Журналист / Новостной редактор / SMM-менеджер,35000,None,RUR,Самара,2022-12-08T11:18:08+0300
Python разработчик,None,None,,Нижний Новгород,2022-12-08T11:02:54+0300
Технический администратор,None,46000,RUR,Москва,2022-12-08T10:05:48+0300
Младший руководитель проектов,75000,300000,RUR,Казань,2022-12-08T11:19:07+0300
Заместитель руководителя проекта,33000,130000,RUR,Новосибирск,2022-12-08T11:18:48+0300
Оператор станка с ЧПУ,300000,500000,KZT,Астана,2022-12-08T08:06:52+0300
Проектный менеджер,800000,None,KZT,Астана,2022-12-08T08:54:05+0300
"Frontend-разработчик (JavaScript, React)",150000,None,RUR,Москва,2022-12-08T11:39:20+0300
Представитель группы компаний в Бразилии / руководитель филиала,None,None,,Санкт-Петербург,2022-12-08T10:41:40+0300
Руководитель группы проектов,55000,1100000,RUR,Красноярск,2022-12-08T11:19:28+0300
Руководитель проекта,50000,1000000,RUR,Екатеринбург,2022-12-08T11:19:45+0300
Графический дизайнер на стажировку,None,None,,Астана,2022-12-08T07:47:34+0300
Руководитель группы проектов,55000,1100000,RUR,Челябинск,2022-12-08T11:19:28+0300
Младший руководитель проектов,75000,300000,RUR,Санкт-Петербург,2022-12-08T11:19:08+0300
Администратор проектов (The Standoff 365),None,None,,Москва,2022-12-08T11:09:00+0300
Менеджер IT-проектов (удаленно),60000,150000,RUR,Казань,2022-12-08T11:01:31+0300
Web-мастер/Разработчик,80000,None,RUR,Новосибирск,2022-12-08T06:05:30+0300
Frontend Web разработчик,40000,160000,RUR,Москва,2022-12-08T10:45:45+0300
Руководитель проекта,50000,1000000,RUR,Казань,2022-12-08T11:19:44+0300
Младший менеджер (координатор) по поставкам нефтегазового оборудования,80000,100000,RUR,Москва,2022-12-08T10:28:28+0300
Журналист / Новостной редактор / SMM-менеджер,35000,None,RUR,Самара,2022-12-08T11:18:08+0300
Python разработчик,None,None,,Нижний Новгород,2022-12-08T11:02:54+0300
Технический администратор,None,46000,RUR,Москва,2022-12-08T10:05:48+0300
Младший руководитель проектов,75000,300000,RUR,Казань,2022-12-08T11:19:07+0300
Заместитель руководителя проекта,33000,130000,RUR,Новосибирск,2022-12-08T11:18:48+0300
Оператор станка с ЧПУ,300000,500000,KZT,Астана,2022-12-08T08:06:52+0300
Проектный менеджер,800000,None,KZT,Астана,2022-12-08T08:54:05+0300
"Frontend-разработчик (JavaScript, React)",150000,None,RUR,Москва,2022-12-08T11:39:20+0300
Представитель группы компаний в Бразилии / руководитель филиала,None,None,,Санкт-Петербург,2022-12-08T10:41:40+0300
Руководитель группы проектов,55000,1100000,RUR,Красноярск,2022-12-08T11:19:28+0300
Руководитель проекта,50000,1000000,RUR,Екатеринбург,2022-12-08T11:19:45+0300
Графический дизайнер на стажировку,None,None,,Астана,2022-12-08T07:47:34+0300
Руководитель группы проектов,55000,1100000,RUR,Челябинск,2022-12-08T11:19:28+0300
Младший руководитель проектов,75000,300000,RUR,Санкт-Петербург,2022-12-08T11:19:08+0300
Администратор проектов (The Standoff 365),None,None,,Москва,2022-12-08T11:09:00+0300
Менеджер IT-проектов (удаленно),60000,150000,RUR,Казань,2022-12-08T11:01:31+0300
Web-мастер/Разработчик,80000,None,RUR,Новосибирск,2022-12-08T06:05:30+0300
Frontend Web разработчик,40000,160000,RUR,Москва,2022-12-08T10:45:45+0300
Руководитель проекта,50000,1000000,RUR,Казань,2022-12-08T11:19:44+0300
Младший менеджер (координатор) по поставкам нефтегазового оборудования,80000,100000,RUR,Москва,2022-12-08T10:28:28+0300
Журналист / Новостной редактор / SMM-менеджер,35000,None,RUR,Самара,2022-12-08T11:18:08+0300
Python разработчик,None,None,,Нижний Новгород,2022-12-08T11:02:54+0300
Технический администратор,None,46000,RUR,Москва,2022-12-08T10:05:48+0300
Младший руководитель проектов,75000,300000,RUR,Казань,2022-12-08T11:19:07+0300
Заместитель руководителя проекта,33000,130000,RUR,Новосибирск,2022-12-08T11:18:48+0300
Оператор станка с ЧПУ,300000,500000,KZT,Астана,2022-12-08T08:06:52+0300
Проектный менеджер,800000,None,KZT,Астана,2022-12-08T08:54:05+0300
"Frontend-разработчик (JavaScript, React)",150000,None,RUR,Москва,2022-12-08T11:39:20+0300
Представитель группы компаний в Бразилии / руководитель филиала,None,None,,Санкт-Петербург,2022-12-08T10:41:40+0300
Руководитель группы проектов,55000,1100000,RUR,Красноярск,2022-12-08T11:19:28+0300
Руководитель проекта,50000,1000000,RUR,Екатеринбург,2022-12-08T11:19:45+0300
Графический дизайнер на стажировку,None,None,,Астана,2022-12-08T07:47:34+0300
Руководитель группы проектов,55000,1100000,RUR,Челябинск,2022-12-08T11:19:28+0300
Младший руководитель проектов,75000,300000,RUR,Санкт-Петербург,2022-12-08T11:19:08+0300
Администратор проектов (The Standoff 365),None,None,,Москва,2022-12-08T11:09:00+0300
Менеджер IT-проектов (удаленно),60000,150000,RUR,Казань,2022-12-08T11:01:31+0300
Web-мастер/Разработчик,80000,None,RUR,Новосибирск,2022-12-08T06:05:30+0300
Frontend Web разработчик,40000,160000,RUR,Москва,2022-12-08T10:45:45+0300
Руководитель проекта,50000,1000000,RUR,Казань,2022-12-08T11:19:44+0300
Младший менеджер (координатор) по поставкам нефтегазового оборудования,80000,100000,RUR,Москва,2022-12-08T10:28:28+0300
Журналист / Новостной редактор / SMM-менеджер,35000,None,RUR,Самара,2022-12-08T11:18:08+0300
Python разработчик,None,None,,Нижний Новгород,2022-12-08T11:02:54+0300
Технический администратор,None,46000,RUR,Москва,2022-12-08T10:05:48+0300
